Begrotingsjaar,Uitgaven (U) Verplichtingen (V) Ontvangsten (O),Begrotingsstaat,Begrotingsstaat omschrijving,Onderdeel,Omschrijving,ontwerpbegroting,vastgestelde begroting,1ste suppletoire begroting,2de suppletoire begroting,Realisatie
2013,O,A,Infrastructuurfonds,11,Hoofdwatersystemen,0,0,0,0,0
2013,U,A,Infrastructuurfonds,11,Hoofdwatersystemen,0,0,0,0,0
2013,V,A,Infrastructuurfonds,11,Hoofdwatersystemen,0,0,0,0,0
2013,O,A,Infrastructuurfonds,12,Hoofdwegennet,262105,262105,127451,173148,150887
2013,U,A,Infrastructuurfonds,12,Hoofdwegennet,2728863,2728863,2574830,2469364,2481851
2013,V,A,Infrastructuurfonds,12,Hoofdwegennet,2634014,2634014,4292546,1853636,1698213
2013,O,A,Infrastructuurfonds,13,Railwegen,60000,60000,172581,216441,202042
2013,U,A,Infrastructuurfonds,13,Railwegen,2197753,2197753,2367705,2391363,2384292
2013,V,A,Infrastructuurfonds,13,Railwegen,1562567,1562567,3479875,2822143,2727691
2013,O,A,Infrastructuurfonds,14,"Regionaal, lokale infra",0,0,600,600,0
2013,U,A,Infrastructuurfonds,14,"Regionaal, lokale infra",135983,135983,131498,246312,215678
2013,V,A,Infrastructuurfonds,14,"Regionaal, lokale infra",231724,231724,334816,863098,602679
2013,O,A,Infrastructuurfonds,15,Hoofdvaarwegennet,30036,30036,39210,20942,10853
2013,U,A,Infrastructuurfonds,15,Hoofdvaarwegennet,844120,844120,899272,864477,864431
2013,V,A,Infrastructuurfonds,15,Hoofdvaarwegennet,893076,893076,1114418,850664,818272
2013,O,A,Infrastructuurfonds,16,Megaprojecten niet-Verkeer en Vervoer,0,0,0,0,0
2013,U,A,Infrastructuurfonds,16,Megaprojecten niet-Verkeer en Vervoer,0,0,0,0,0
2013,V,A,Infrastructuurfonds,16,Megaprojecten niet-Verkeer en Vervoer,0,0,0,0,0
2013,O,A,Infrastructuurfonds,17,Megaprojecten Verkeer en Vervoer,3000,3000,1099,99,2346
2013,U,A,Infrastructuurfonds,17,Megaprojecten Verkeer en Vervoer,54157,54157,50435,20452,14761
2013,V,A,Infrastructuurfonds,17,Megaprojecten Verkeer en Vervoer,35060,35060,40139,60583,14159
2013,O,A,Infrastructuurfonds,18,Overige uitgaven en ontvangsten,0,0,147317,147317,147319
2013,U,A,Infrastructuurfonds,18,Overige uitgaven en ontvangsten,273614,273614,276738,290602,287566
2013,V,A,Infrastructuurfonds,18,Overige uitgaven en ontvangsten,270419,270419,268760,282542,276524
2013,O,A,Infrastructuurfonds,19,Bijdrage andere begrotingen Rijk,5879349,5879349,5812220,5719716,5722871
2013,U,A,Infrastructuurfonds,19,Bijdrage andere begrotingen Rijk,0,0,0,0,0
2013,V,A,Infrastructuurfonds,19,Bijdrage andere begrotingen Rijk,0,0,0,0,0
2013,O,B,Gemeentefonds,1,Gemeentefonds,0,0,0,51,51
2013,U,B,Gemeentefonds,1,Gemeentefonds,17963120,17963120,17889265,17945890,17988793
2013,V,B,Gemeentefonds,1,Gemeentefonds,17963120,17963120,17860586,17992211,17995671
2013,O,C,Provinciefonds,1,Provinciefonds,0,0,0,0,0
