Begrotingsjaar,Valuta,eenheid,Uitgaven (U) Verplichtingen (V) Ontvangsten (O),Begrotingsstaat,Onderdeel,Omschrijving,ontwerpbegroting,vastgestelde begroting,1ste suppletoire begroting,2de suppletoire begroting,Realisatie,Url
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",4,Zorgbreed Beleid,0,0,4858,29858,20251,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",4,Zorgbreed Beleid,0,755524,815616,829240,815589,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",4,Zorgbreed Beleid,0,737883,797975,811599,578564,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",5,Jeugd,0,0,9428,20628,24454,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",5,Jeugd,0,1533547,1520945,1475196,1472741,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",5,Jeugd,0,1393470,1380868,1481519,1496199,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",6,Sport en Bewegen,0,0,1740,940,661,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",6,Sport en Bewegen,0,135000,73931,71966,70640,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",6,Sport en Bewegen,0,122849,80180,82058,80526,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",7,Oorlogsgetroffenen en Herinneringen Tweede Wereldoorlog,0,0,901,901,1298,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",7,Oorlogsgetroffenen en Herinneringen Tweede Wereldoorlog,0,331574,343256,343549,341448,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",7,Oorlogsgetroffenen en Herinneringen Tweede Wereldoorlog,0,331354,343751,344044,322143,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",8,Tegemoetkoming Specifieke Kosten,0,0,0,0,607111,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",8,Tegemoetkoming Specifieke Kosten,0,5220557,5247040,5258865,5992368,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",8,Tegemoetkoming Specifieke Kosten,0,5220557,5247040,5258865,5556917,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",9,Algemeen,0,0,0,0,0,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",9,Algemeen,0,27936,20761,22429,22577,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",9,Algemeen,0,21936,14761,16429,29612,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",10,Apparaatsuitgaven,0,0,37923,53894,54067,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",10,Apparaatsuitgaven,0,230968,283655,359891,353373,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",10,Apparaatsuitgaven,0,230895,283582,359818,361264,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",11,Nominaal en Onvoorzien,0,0,5000,5000,0,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",11,Nominaal en Onvoorzien,0,-36359,-4080,666,0,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",11,Nominaal en Onvoorzien,0,-36359,-4080,666,0,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",41,Volksgezondheid,10903,10903,0,0,0,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",41,Volksgezondheid,617397,0,0,0,0,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",41,Volksgezondheid,611746,0,0,0,0,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",42,Gezondheidszorg,25186,25186,0,0,0,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",42,Gezondheidszorg,8060715,0,0,0,0,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",42,Gezondheidszorg,8028765,0,0,0,0,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",43,Langdurige Zorg,3358,3358,0,0,0,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",43,Langdurige Zorg,4618288,0,0,0,0,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",43,Langdurige Zorg,4606164,0,0,0,0,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",44,Maatschappelijke Ondersteuning,1883,1883,0,0,0,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",44,Maatschappelijke Ondersteuning,187880,0,0,0,0,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",44,Maatschappelijke Ondersteuning,187736,0,0,0,0,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",45,Jeugdzorg,9215,9215,0,0,0,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",45,Jeugdzorg,1533547,0,0,0,0,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",45,Jeugdzorg,1393470,0,0,0,0,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",46,Sport,1740,1740,0,0,0,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",46,Sport,135000,0,0,0,0,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",46,Sport,122849,0,0,0,0,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",47,Oorlogsgetroffenen en herinnering WO II,901,901,0,0,0,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",47,Oorlogsgetroffenen en herinnering WO II,331574,0,0,0,0,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",47,Oorlogsgetroffenen en herinnering WO II,331354,0,0,0,0,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",96,Apparaatsuitgaven,5353,5353,0,0,0,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",96,Apparaatsuitgaven,225639,0,0,0,0,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",96,Apparaatsuitgaven,225566,0,0,0,0,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",97,Algemeen,0,0,0,0,0,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",97,Algemeen,27936,0,0,0,0,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",97,Algemeen,21936,0,0,0,0,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",99,Nominaal en onvoorzien,5000,5000,0,0,0,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",99,Nominaal en onvoorzien,-26659,0,0,0,0,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",99,Nominaal en onvoorzien,-26659,0,0,0,0,
2013,Euro,x1000,O,"XVI, Volksgezondheid, Welzijn en Sport",-,TOTAAL,63539,63539,136022,206846,810235,
2013,Euro,x1000,U,"XVI, Volksgezondheid, Welzijn en Sport",-,TOTAAL,15711317,15647174,15736350,15712516,16376203,
2013,Euro,x1000,V,"XVI, Volksgezondheid, Welzijn en Sport",-,TOTAAL,15502927,15438784,15546101,15893603,15847096,
2013,Euro,x1000,O,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",1,Een sterke internationale concurrentiepositie,0,14315,14315,7215,1833,
2013,Euro,x1000,U,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",1,Een sterke internationale concurrentiepositie,0,89197,91551,96942,86893,
2013,Euro,x1000,V,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",1,Een sterke internationale concurrentiepositie,0,75116,76281,81316,129742,
2013,Euro,x1000,O,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",2,Internationale rechtsorde en mensenrechten,0,0,0,0,0,
2013,Euro,x1000,U,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",2,Internationale rechtsorde en mensenrechten,0,0,340,132,132,
2013,Euro,x1000,V,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",2,Internationale rechtsorde en mensenrechten,0,0,340,132,133,
2013,Euro,x1000,O,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",3,"Veiligheid en stabiliteit, humanitaire hulp en goed bestuur",0,0,0,0,0,
2013,Euro,x1000,U,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",3,"Veiligheid en stabiliteit, humanitaire hulp en goed bestuur",0,0,509100,516370,527379,
2013,Euro,x1000,V,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",3,"Veiligheid en stabiliteit, humanitaire hulp en goed bestuur",0,0,527250,432450,559660,
2013,Euro,x1000,O,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",4,"Meer welvaart, eerlijkere verdeling en minder armoede",0,0,57363,88539,78619,
2013,Euro,x1000,U,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",4,"Meer welvaart, eerlijkere verdeling en minder armoede",0,0,889159,882249,928802,
2013,Euro,x1000,V,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",4,"Meer welvaart, eerlijkere verdeling en minder armoede",0,0,749813,1075670,316105,
2013,Euro,x1000,O,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",5,Toegenomen menselijke ontplooiing en sociale ontwikkeling,0,0,0,0,0,
2013,Euro,x1000,U,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",5,Toegenomen menselijke ontplooiing en sociale ontwikkeling,0,0,1064757,1077535,1115501,
2013,Euro,x1000,V,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",5,Toegenomen menselijke ontplooiing en sociale ontwikkeling,0,0,486432,360819,184754,
2013,Euro,x1000,O,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",6,Duurzaam water- en milieubeheer,0,0,0,0,0,
2013,Euro,x1000,U,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",6,Duurzaam water- en milieubeheer,0,0,379972,332484,325813,
2013,Euro,x1000,V,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",6,Duurzaam water- en milieubeheer,0,0,533944,441116,350855,
2013,Euro,x1000,O,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",7,Regulering van het personenverkeer,0,0,0,0,0,
2013,Euro,x1000,U,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",7,Regulering van het personenverkeer,0,0,9000,9000,8046,
2013,Euro,x1000,V,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",7,Regulering van het personenverkeer,0,0,9000,9000,3999,
2013,Euro,x1000,O,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",8,Versterkt cultureel profiel en positieve beeldvorming NL,0,0,0,0,0,
2013,Euro,x1000,U,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",8,Versterkt cultureel profiel en positieve beeldvorming NL,0,0,27071,26615,24998,
2013,Euro,x1000,V,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",8,Versterkt cultureel profiel en positieve beeldvorming NL,0,0,5852,5859,3195,
2013,Euro,x1000,O,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",-,TOTAAL,0,14315,71678,95754,80452,
2013,Euro,x1000,U,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",-,TOTAAL,0,89197,2970950,2941327,3017564,
2013,Euro,x1000,V,"XVII, Buitenlandse Handel & Ontwikkelingssamenwerking",-,TOTAAL,0,75116,2388912,2406362,1548443,
2013,Euro,x1000,O,"XVIII, Wonen en Rijksdienst",11,Woningmarkt,0,578445,472245,472245,407994,
2013,Euro,x1000,U,"XVIII, Wonen en Rijksdienst",11,Woningmarkt,0,2880443,2904325,2898765,2929201,
2013,Euro,x1000,V,"XVIII, Wonen en Rijksdienst",11,Woningmarkt,0,2950887,2974769,2969209,2900728,
2013,Euro,x1000,O,"XVIII, Wonen en Rijksdienst",12,Woonomgeving en bouw,0,91,1307,1307,2056,
2013,Euro,x1000,U,"XVIII, Wonen en Rijksdienst",12,Woonomgeving en bouw,0,32639,93660,92011,38102,
2013,Euro,x1000,V,"XVIII, Wonen en Rijksdienst",12,Woonomgeving en bouw,0,32189,93170,91521,119715,
2013,Euro,x1000,O,"XVIII, Wonen en Rijksdienst",13,Kwaliteit Rijksdienst,0,250,593,666,828,
2013,Euro,x1000,U,"XVIII, Wonen en Rijksdienst",13,Kwaliteit Rijksdienst,0,29380,21675,20988,20959,
2013,Euro,x1000,V,"XVIII, Wonen en Rijksdienst",13,Kwaliteit Rijksdienst,0,29380,21675,20988,18880,
2013,Euro,x1000,O,"XVIII, Wonen en Rijksdienst",14,Uitvoering Rijkshuisvesting,0,357,657,4790,4297,
2013,Euro,x1000,U,"XVIII, Wonen en Rijksdienst",14,Uitvoering Rijkshuisvesting,0,59207,62007,65099,64653,
2013,Euro,x1000,V,"XVIII, Wonen en Rijksdienst",14,Uitvoering Rijkshuisvesting,0,59207,62007,65099,64652,
2013,Euro,x1000,O,"XVIII, Wonen en Rijksdienst",15,Beheer materiële activa,0,175186,150786,151686,165181,
2013,Euro,x1000,U,"XVIII, Wonen en Rijksdienst",15,Beheer materiële activa,0,84280,89080,89232,93244,
2013,Euro,x1000,V,"XVIII, Wonen en Rijksdienst",15,Beheer materiële activa,0,84280,89080,90132,91699,
2013,Euro,x1000,O,"XVIII, Wonen en Rijksdienst",16,Uitvoering rijksvastgoedbeleid,0,0,0,0,0,
2013,Euro,x1000,U,"XVIII, Wonen en Rijksdienst",16,Uitvoering rijksvastgoedbeleid,0,0,0,0,0,
2013,Euro,x1000,V,"XVIII, Wonen en Rijksdienst",16,Uitvoering rijksvastgoedbeleid,0,0,0,0,0,
2013,Euro,x1000,O,"XVIII, Wonen en Rijksdienst",-,TOTAAL,0,754329,625588,630694,580356,
2013,Euro,x1000,U,"XVIII, Wonen en Rijksdienst",-,TOTAAL,0,3085949,3170747,3166095,3146159,
2014,Euro,x1000,O,"A, Infrastructuurfonds",11,Hoofdwatersystemen,0,0,0,0,0,
2014,Euro,x1000,U,"A, Infrastructuurfonds",11,Hoofdwatersystemen,0,0,0,0,0,
2014,Euro,x1000,V,"A, Infrastructuurfonds",11,Hoofdwatersystemen,0,0,0,0,0,
2014,Euro,x1000,O,"A, Infrastructuurfonds",12,Hoofdwegennet,133839,133839,145392,134757,132430,
2014,Euro,x1000,U,"A, Infrastructuurfonds",12,Hoofdwegennet,2800084,2800084,2484570,2537639,2568873,
2014,Euro,x1000,V,"A, Infrastructuurfonds",12,Hoofdwegennet,4279533,4279533,3285408,3786062,3407686,
2014,Euro,x1000,O,"A, Infrastructuurfonds",13,Spoorwegen,65249,65249,136113,120590,117966,
2014,Euro,x1000,U,"A, Infrastructuurfonds",13,Spoorwegen,2397939,2397939,2390672,2252017,2241221,
2014,Euro,x1000,V,"A, Infrastructuurfonds",13,Spoorwegen,2018957,2018957,2496296,1751129,1635883,
2014,Euro,x1000,O,"A, Infrastructuurfonds",14,"Regionaal, lokale infra",0,0,600,600,1210,
2014,Euro,x1000,U,"A, Infrastructuurfonds",14,"Regionaal, lokale infra",241969,241969,204144,166359,163374,
2014,Euro,x1000,V,"A, Infrastructuurfonds",14,"Regionaal, lokale infra",230817,230817,663833,242911,240876,
2014,Euro,x1000,O,"A, Infrastructuurfonds",15,Hoofdvaarwegennet,32113,32113,70852,56046,48344,
2014,Euro,x1000,U,"A, Infrastructuurfonds",15,Hoofdvaarwegennet,895163,895163,856310,903545,894465,
2014,Euro,x1000,V,"A, Infrastructuurfonds",15,Hoofdvaarwegennet,657706,657706,943017,991968,468336,
2014,Euro,x1000,O,"A, Infrastructuurfonds",17,Megaprojecten Verkeer en Vervoer,0,0,3000,8262,9719,
2014,Euro,x1000,U,"A, Infrastructuurfonds",17,Megaprojecten Verkeer en Vervoer,24368,24368,90907,18622,8473,
2014,Euro,x1000,V,"A, Infrastructuurfonds",17,Megaprojecten Verkeer en Vervoer,0,0,52815,18738,5505,
2014,Euro,x1000,O,"A, Infrastructuurfonds",18,Overige uitgaven en ontvangsten,0,0,-12263,-12263,-12260,
2014,Euro,x1000,U,"A, Infrastructuurfonds",18,Overige uitgaven en ontvangsten,235032,235032,240372,239003,231754,
2014,Euro,x1000,V,"A, Infrastructuurfonds",18,Overige uitgaven en ontvangsten,228916,228916,135289,223851,219465,
2014,Euro,x1000,O,"A, Infrastructuurfonds",19,Bijdrage andere begrotingen Rijk,6363354,6363354,5923281,5833526,5834916,
2014,Euro,x1000,U,"A, Infrastructuurfonds",19,Bijdrage andere begrotingen Rijk,0,0,0,0,0,
2014,Euro,x1000,V,"A, Infrastructuurfonds",19,Bijdrage andere begrotingen Rijk,0,0,0,0,0,
2014,Euro,x1000,O,"A, Infrastructuurfonds",-,TOTAAL,6594555,6594555,6266975,6141518,6132325,
2014,Euro,x1000,U,"A, Infrastructuurfonds",-,TOTAAL,6594555,6594555,6266975,6117185,6108160,
2014,Euro,x1000,V,"A, Infrastructuurfonds",-,TOTAAL,7415929,7415929,7576658,7014659,5977751,
2014,Euro,x1000,O,"B, Gemeentefonds",1,Gemeentefonds,0,0,0,0,0,
2014,Euro,x1000,U,"B, Gemeentefonds",1,Gemeentefonds,18381232,18381232,0,0,0,
2014,Euro,x1000,V,"B, Gemeentefonds",1,Gemeentefonds,18381232,18381232,0,0,0,
2014,Euro,x1000,O,"B, Gemeentefonds",2,Apparaat,0,0,0,92,92,
2014,Euro,x1000,U,"B, Gemeentefonds",2,Apparaat,0,0,25055,33662,32840,
2014,Euro,x1000,V,"B, Gemeentefonds",2,Apparaat,0,0,25055,33662,33544,
2014,Euro,x1000,O,"B, Gemeentefonds",3,Programma,0,0,0,0,0,
2014,Euro,x1000,U,"B, Gemeentefonds",3,Programma,0,0,18460334,18729528,18708263,
2014,Euro,x1000,V,"B, Gemeentefonds",3,Programma,0,0,18425559,18694753,18694846,
2014,Euro,x1000,O,"B, Gemeentefonds",-,TOTAAL,0,0,0,92,92,
2014,Euro,x1000,U,"B, Gemeentefonds",-,TOTAAL,18381232,18381232,18485389,18763190,18741103,
2014,Euro,x1000,V,"B, Gemeentefonds",-,TOTAAL,18381232,18381232,18450614,18728415,18728390,
2014,Euro,x1000,O,"C, Provinciefonds",1,Provinciefonds,0,0,0,0,0,
2014,Euro,x1000,U,"C, Provinciefonds",1,Provinciefonds,1171987,1171987,1247354,1289532,1295743,
2014,Euro,x1000,V,"C, Provinciefonds",1,Provinciefonds,1171987,1171987,1247426,1289604,1295704,
2014,Euro,x1000,O,"C, Provinciefonds",-,TOTAAL,0,0,0,0,0,
2014,Euro,x1000,U,"C, Provinciefonds",-,TOTAAL,1171987,1171987,1247354,1289532,1295743,
2014,Euro,x1000,V,"C, Provinciefonds",-,TOTAAL,1171987,1171987,1247426,1289604,1295704,
2014,Euro,x1000,O,"F, Diergezondheidsfonds",1,Bewaking en bestrijding van dierziekten,10900,10900,20194,22366,32758,
2014,Euro,x1000,U,"F, Diergezondheidsfonds",1,Bewaking en bestrijding van dierziekten,10900,10900,20194,22366,32758,
2014,Euro,x1000,V,"F, Diergezondheidsfonds",1,Bewaking en bestrijding van dierziekten,10900,10900,20194,22366,32758,
2014,Euro,x1000,O,"F, Diergezondheidsfonds",-,TOTAAL,10900,10900,20194,22366,32758,
2014,Euro,x1000,U,"F, Diergezondheidsfonds",-,TOTAAL,10900,10900,20194,22366,32758,
2014,Euro,x1000,V,"F, Diergezondheidsfonds",-,TOTAAL,10900,10900,20194,22366,32758,
2014,Euro,x1000,O,"H, BES-fonds",1,BES-fonds,0,0,0,0,0,
2014,Euro,x1000,U,"H, BES-fonds",1,BES-fonds,32709,32709,31906,36853,38686,
2014,Euro,x1000,V,"H, BES-fonds",1,BES-fonds,32709,32709,31906,36853,38786,
2014,Euro,x1000,O,"H, BES-fonds",-,TOTAAL,0,0,0,0,0,
2014,Euro,x1000,U,"H, BES-fonds",-,TOTAAL,32709,32709,31906,36853,38686,
2014,Euro,x1000,V,"H, BES-fonds",-,TOTAAL,32709,32709,31906,36853,38786,
2014,Euro,x1000,O,"I, De Koning",1,UITKERING LEDEN KONINKLIJK HUIS,0,0,0,0,0,
2014,Euro,x1000,U,"I, De Koning",1,UITKERING LEDEN KONINKLIJK HUIS,7614,7614,7614,7614,7592,
2014,Euro,x1000,V,"I, De Koning",1,UITKERING LEDEN KONINKLIJK HUIS,7614,7614,7614,7614,7592,
2014,Euro,x1000,O,"I, De Koning",2,Functionele uitgaven van de Koning,0,0,65,65,65,
2014,Euro,x1000,U,"I, De Koning",2,Functionele uitgaven van de Koning,26779,26779,26833,26833,26833,
2014,Euro,x1000,V,"I, De Koning",2,Functionele uitgaven van de Koning,26779,26779,26833,26833,26833,
2014,Euro,x1000,O,"I, De Koning",3,Doorbelaste uitgaven van andere begrotingen,0,0,131,131,131,
2014,Euro,x1000,U,"I, De Koning",3,Doorbelaste uitgaven van andere begrotingen,5594,5594,5630,5630,5691,
2014,Euro,x1000,V,"I, De Koning",3,Doorbelaste uitgaven van andere begrotingen,5594,5594,5630,5630,5691,
2014,Euro,x1000,O,"I, De Koning",-,TOTAAL,0,0,196,196,196,
2014,Euro,x1000,U,"I, De Koning",-,TOTAAL,39987,39987,40077,40077,40116,
2014,Euro,x1000,V,"I, De Koning",-,TOTAAL,39987,39987,40077,40077,40116,
2014,Euro,x1000,O,"IIa, De Staten Generaal",1,Wetgeving en controle Eerste Kamer,91,91,91,91,101,
2014,Euro,x1000,U,"IIa, De Staten Generaal",1,Wetgeving en controle Eerste Kamer,11589,11589,11703,11778,9938,
2014,Euro,x1000,V,"IIa, De Staten Generaal",1,Wetgeving en controle Eerste Kamer,11589,11589,11703,11770,9915,
2014,Euro,x1000,O,"IIa, De Staten Generaal",2,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,86,86,86,86,34,
2014,Euro,x1000,U,"IIa, De Staten Generaal",2,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,32206,32206,32206,29231,27804,
2014,Euro,x1000,V,"IIa, De Staten Generaal",2,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,32206,32206,32206,29231,27804,
2014,Euro,x1000,O,"IIa, De Staten Generaal",3,Wetgeving en controle Tweede Kamer,4966,4966,4966,4966,4385,
2014,Euro,x1000,U,"IIa, De Staten Generaal",3,Wetgeving en controle Tweede Kamer,93051,93051,97746,95462,92524,
2014,Euro,x1000,V,"IIa, De Staten Generaal",3,Wetgeving en controle Tweede Kamer,93051,93051,97774,95462,99047,
2014,Euro,x1000,O,"IIa, De Staten Generaal",4,Wetgeving en controle Eerste en Tweede Kamer,23,23,23,23,0,
2014,Euro,x1000,U,"IIa, De Staten Generaal",4,Wetgeving en controle Eerste en Tweede Kamer,2506,2506,2506,2524,1799,
2014,Euro,x1000,V,"IIa, De Staten Generaal",4,Wetgeving en controle Eerste en Tweede Kamer,2506,2506,2506,2524,1589,
2014,Euro,x1000,O,"IIa, De Staten Generaal",10,Nominaal en onvoorzien,0,0,0,0,0,
2014,Euro,x1000,U,"IIa, De Staten Generaal",10,Nominaal en onvoorzien,-1252,-1252,-422,-1256,0,
2014,Euro,x1000,V,"IIa, De Staten Generaal",10,Nominaal en onvoorzien,-1252,-1252,-450,-1256,0,
2014,Euro,x1000,O,"IIa, De Staten Generaal",-,TOTAAL,5166,5166,5166,5166,4520,
2014,Euro,x1000,U,"IIa, De Staten Generaal",-,TOTAAL,138100,138100,143739,137739,132065,
2014,Euro,x1000,V,"IIa, De Staten Generaal",-,TOTAAL,138100,138100,143739,137731,138355,
2014,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",1,Raad van State,2002,2002,2152,2652,2560,
2014,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",1,Raad van State,59650,59650,61095,59943,58521,
2014,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",1,Raad van State,59650,59650,61095,59943,58577,
2014,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",2,Algemene Rekenkamer,1217,1217,1217,1217,977,
2014,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",2,Algemene Rekenkamer,29841,29841,30130,30126,30028,
2014,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",2,Algemene Rekenkamer,29841,29841,30130,30126,29947,
2014,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",3,De Nationale Ombudsman,2189,2189,2189,2684,2765,
2014,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",3,De Nationale Ombudsman,15581,15581,16231,16643,16361,
2014,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",3,De Nationale Ombudsman,15581,15581,16231,16643,16676,
2014,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",4,Kanselarij der Nederlandse Orden,29,29,29,29,154,
2014,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",4,Kanselarij der Nederlandse Orden,3999,3999,4072,4073,3583,
2014,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",4,Kanselarij der Nederlandse Orden,3999,3999,4072,4073,3954,
2014,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",6,Kabinet van de Gouverneur van Aruba,60,60,60,60,78,
2014,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",6,Kabinet van de Gouverneur van Aruba,1784,1784,1895,1906,1759,
2014,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",6,Kabinet van de Gouverneur van Aruba,1784,1784,1895,1906,1742,
2014,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",7,Kabinet van de Gouverneur van Curaçao,200,200,200,200,51,
2014,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",7,Kabinet van de Gouverneur van Curaçao,2815,2815,3143,3324,3062,
2014,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",7,Kabinet van de Gouverneur van Curaçao,2815,2815,3143,3324,3371,
2014,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",8,Kabinet van de Gouverneur van Sint Maarten,50,50,50,50,80,
2014,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",8,Kabinet van de Gouverneur van Sint Maarten,2043,2043,3002,2814,2831,
2014,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",8,Kabinet van de Gouverneur van Sint Maarten,2043,2043,3002,2814,2803,
2014,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",10,Nominaal en onvoorzien,0,0,0,0,0,
2014,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",10,Nominaal en onvoorzien,0,0,573,0,0,
2014,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",10,Nominaal en onvoorzien,0,0,573,0,0,
2014,Euro,x1000,O,"IIb, Overige Hoge Colleges van Staat",-,TOTAAL,5747,5747,5897,6892,6665,
2014,Euro,x1000,U,"IIb, Overige Hoge Colleges van Staat",-,TOTAAL,115713,115713,120141,118829,116145,
2014,Euro,x1000,V,"IIb, Overige Hoge Colleges van Staat",-,TOTAAL,115713,115713,120141,118829,117070,
2014,Euro,x1000,O,"III, Algemene Zaken",1,Bevorderen eenheid regeringsbeleid,4199,4199,4202,4382,4017,
2014,Euro,x1000,U,"III, Algemene Zaken",1,Bevorderen eenheid regeringsbeleid,57085,57085,57493,57824,56146,
2014,Euro,x1000,V,"III, Algemene Zaken",1,Bevorderen eenheid regeringsbeleid,57085,57085,57493,57824,62086,
